1531254401628,W0,6,S,0,12,AFEVGV0P014
1531254401628,W0,6,S,0,4,AFEVGV0P014
1531254401632,W7,7,S,0,1,AFEVGV0P014
1531254401632,W7,7,S,0,9,AFEVGV0P014
1531254401637,W6,2,S,0,5,AFEVGV0P014
1531254401641,W6,2,S,0,13,AFEVGV0P014
1531254401657,W1,8,S,0,10,AFEVGV0P014
1531254401657,W1,8,S,0,2,AFEVGV0P014
1531254401660,W2,4,S,0,0,AFEVGV0P014
1531254401660,W2,4,S,0,8,AFEVGV0P014
1531254401660,W4,1,S,0,11,AFEVGV0P014
1531254401660,W4,1,S,0,3,AFEVGV0P014
1531254401672,W5,5,S,0,7,AFEVGV0P014
1531254401672,W5,5,S,0,7,AFEVHK3N014
1531254401717,W0,6,D,4,4,AFEVGV0P014
1531254401718,W7,7,D,11,9,AFEVGV0P014
1531254401726,W6,2,D,26,5,AFEVGV0P014
1531254401732,W2,4,D,19,8,AFEVGV0P014
1531254401761,W0,6,D,66,12,AFEVGV0P014
1531254401762,W1,8,D,9,10,AFEVGV0P014
1531254401763,W3,3,S,0,14,AFEVGV0P014
1531254401763,W3,3,S,0,6,AFEVGV0P014
1531254401770,W7,7,D,39,1,AFEVGV0P014
1531254401788,W6,2,D,1,13,AFEVGV0P014
1531254401791,W2,4,S,0,0,AFEVHK3N014
1531254401793,W5,5,D,42,7,AFEVGV0P014
1531254401806,W6,2,S,0,5,AFEVHK3N014
1531254401811,W4,1,D,34,3,AFEVGV0P014
1531254401812,W4,1,D,34,11,AFEVGV0P014
1531254401818,W1,8,S,0,2,AFEVHK3N014
1531254401820,W6,2,S,0,13,AFEVHK3N014
1531254401837,W1,8,D,41,2,AFEVGV0P014
1531254401858,W1,8,S,0,10,AFEVHK3N014
1531254401878,W2,4,D,11,0,AFEVGV0P014
1531254401879,W4,1,S,0,11,AFEVHK3N014
1531254401886,W5,5,S,0,7,AFEVJ4EE014
1531254401887,W4,1,S,0,3,AFEVHK3N014
1531254401922,W2,4,S,0,8,AFEVHK3N014
1531254401940,W3,3,D,4,6,AFEVGV0P014
1531254401946,W3,3,D,100,14,AFEVGV0P014
1531254401965,W0,6,S,0,12,AFEVHK3N014
1531254401965,W0,6,S,0,4,AFEVHK3N014
1531254401965,W7,7,S,0,1,AFEVHK3N014
1531254401975,W7,7,S,0,9,AFEVHK3N014
1531254401988,W5,5,D,0,7,AFEVJ4EE014
